Date,BCI,BCIp,BCIg,USRECD
1995-07-12,4.919980925828125,6.577722265989826,3.7932394694381792,0
1995-07-13,4.897839799950911,6.5869988988009265,3.817712325956905,0
1995-07-20,4.897839799950911,6.586585362369367,3.828641396489095,0
1995-07-27,4.900076103529192,6.5869988988009265,3.8351419610921886,0
1995-08-06,4.881285622068407,6.5869988988009265,3.8022081394209395,0
1995-08-17,4.911183215124596,6.5869988988009265,3.860729711040596,0
1995-08-24,4.911183215124596,6.5869988988009265,3.8649313978942956,0
1995-08-31,4.9141243937154115,6.5869988988009265,3.8649313978942956,0
1995-09-02,4.866764923676554,6.584376941872082,3.8199077165203406,0
1995-09-03,4.867534450455582,6.58285581871354,3.8264651170664994,0
1995-09-11,4.911919321157098,6.5594735844014265,3.7999735016195233,0
1995-09-14,4.921439715291784,6.5869988988009265,3.8691155044168695,0
1995-09-21,4.923623917106626,6.5869988988009265,3.8753590210565547,0
1995-09-28,4.919250732294404,6.5757729476337765,3.8732821771117156,0
1995-10-08,4.9104465668408235,6.5869988988009265,3.8522730010223722,0
1995-10-19,4.916324614625014,6.569761885988985,3.839452312593311,0
1995-10-26,4.912654885736052,6.56159627677138,3.8242840911201395,0
1995-11-05,4.8782461060505105,6.5869988988009265,3.7887247890836524,0
1995-11-16,4.91338990965742,6.562161567911363,3.7887247890836524,0
1995-11-23,4.9141243937154115,6.5638555265321274,3.7841896339182615,0
1995-11-30,4.917788743729904,6.573400798331925,3.7887247890836524,0
1995-12-01,4.860587297852597,6.571163035160348,3.8308129500026027,0
1995-12-10,4.91705694713669,6.571163035160348,3.8543938925915096,0
1995-12-14,4.925803358579558,6.5869988988009265,3.8022081394209395,0
1995-12-21,4.925077405734609,6.586723226848802,3.8088822465086327,0
1995-12-28,4.925077405734609,6.586033714306832,3.8110970868381857,0
1996-01-02,4.930870325627393,6.5869988988009265,3.80666248977032,0
1996-01-08,4.957937505095806,6.570742896508415,3.7819143200811256,0
1996-01-18,4.927253685157205,6.585619778460977,3.8088822465086327,0
1996-01-25,4.9279780604152466,6.5869988988009265,3.80666248977032,0
1996-02-05,4.948759890378168,6.5869988988009265,3.8088822465086327,0
1996-02-15,4.939497266262916,6.5869988988009265,3.8199077165203406,0
1996-02-22,4.938781190328272,6.585619778460977,3.8264651170664994,0
1996-02-29,4.939497266262916,6.5869988988009265,3.828641396489095,0
1996-03-10,4.984291318756654,6.5869988988009265,3.822098297900159,0
1996-03-14,4.938781190328272,6.5832709000062515,3.817712325956905,0
1996-03-21,4.941642422609304,6.5869988988009265,3.8155121050473024,0
1996-03-28,4.9459189793765646,6.5869988988009265,3.8155121050473024,0
1996-04-01,4.926528784799256,6.5869988988009265,3.8133070324889884,0
1996-04-04,4.945207488773801,6.585619778460977,3.8155121050473024,0
1996-04-07,4.964940334834126,6.5869988988009265,3.822098297900159,0
1996-04-18,4.9473404437239425,6.5869988988009265,3.817712325956905,0
1996-04-25,4.946629964120343,6.585343726009258,3.8110970868381857,0
1996-05-09,4.9670316566141235,6.583685809077966,3.7887247890836524,0
1996-05-12,4.993149979755236,6.583824073855235,3.8242840911201395,0
1996-05-16,4.950885289690482,6.5869988988009265,3.7977338590260183,0
