,Date,BCI,BCIp,BCIg,USRECD,IE_SP_Comp,IE_SP_Dividend,IE_SP_Earnings,IE_Consumer_CPI,IE_Long_Interest,IE_Real_Price,IE_Real_Dividend,IE_Return_Price,IE_Real_Earnings,IE_Scaled_Earnings,IE_Monthly_Returns,IE_Real_Returns
208,1971-02-04,4.543294782270004,6.5869988988009265,3.7184382563554808,0,4.537854478703224,1.1410330045520618,1.6409365794934714,3.6838669122903918,1.8309801823813363,6.4634661790163905,3.0666566118906897,11.493681277717378,3.566429294357372,8.59676378766271,0.009950330853168092,2.4423470353692043
209,1971-02-11,4.548599834499697,6.5869988988009265,3.7612001156935624,0,4.537854478703224,1.1410330045520618,1.6409365794934714,3.6838669122903918,1.8309801823813363,6.4634661790163905,3.0666566118906897,11.493681277717378,3.566429294357372,8.59676378766271,0.009950330853168092,2.4423470353692043
210,1971-02-18,4.551769409260976,6.5869988988009265,3.7999735016195233,0,4.537854478703224,1.1410330045520618,1.6409365794934714,3.6838669122903918,1.8309801823813363,6.4634661790163905,3.0666566118906897,11.493681277717378,3.566429294357372,8.59676378766271,0.009950330853168092,2.4423470353692043
211,1971-02-25,4.551769409260976,6.5869988988009265,3.8242840911201395,0,4.537854478703224,1.1410330045520618,1.6409365794934714,3.6838669122903918,1.8309801823813363,6.4634661790163905,3.0666566118906897,11.493681277717378,3.566429294357372,8.59676378766271,0.009950330853168092,2.4423470353692043
212,1971-03-04,4.551769409260976,6.5869988988009265,3.839452312593311,0,4.575844356606263,1.1378330018213911,1.6467336971777973,3.686376323895818,1.809926773183504,6.498944580622876,3.0610517396746335,11.531835537194869,3.5698143469549963,8.602724807432768,0.03922071315328133,2.454447442303292
213,1971-03-11,4.5591262474866845,6.5869988988009265,3.856510295497887,0,4.575844356606263,1.1378330018213911,1.6467336971777973,3.686376323895818,1.809926773183504,6.498944580622876,3.0610517396746335,11.531835537194869,3.5698143469549963,8.602724807432768,0.03922071315328133,2.454447442303292
214,1971-03-18,4.5612182984589085,6.5869988988009265,3.871201010907891,0,4.575844356606263,1.1378330018213911,1.6467336971777973,3.686376323895818,1.809926773183504,6.498944580622876,3.0610517396746335,11.531835537194869,3.5698143469549963,8.602724807432768,0.03922071315328133,2.454447442303292
215,1971-03-25,4.5612182984589085,6.5869988988009265,3.885679030088544,0,4.575844356606263,1.1378330018213911,1.6467336971777973,3.686376323895818,1.809926773183504,6.498944580622876,3.0610517396746335,11.531835537194869,3.5698143469549963,8.602724807432768,0.03922071315328133,2.454447442303292
216,1971-04-01,4.558078578454241,6.57813948315741,3.893859034800475,0,4.601162164590552,1.1346227261911428,1.6524974018945473,3.6888794541139363,1.7404661748405046,6.521769216411457,3.055415275715165,11.55724890626476,3.5731879796177446,8.608584794526633,-0.01005033585350145,2.4874035299865875
217,1971-04-08,4.558078578454241,6.577861357721047,3.8958936234982624,0,4.601162164590552,1.1346227261911428,1.6524974018945473,3.6888794541139363,1.7404661748405046,6.521769216411457,3.055415275715165,11.55724890626476,3.5731879796177446,8.608584794526633,-0.01005033585350145,2.4874035299865875
