,Date,BCI,BCIp,BCIg,USRECD
245,1971-10-21,4.576770711466393,6.548219102762372,3.8044377947482086,0
246,1971-10-28,4.572646994282532,6.539585955617669,3.7887247890836524,0
247,1971-11-04,4.571613402459248,6.5355315046537745,3.770459441106359,0
248,1971-11-11,4.571613402459248,6.53712628570943,3.7471483622379123,0
249,1971-11-18,4.566429357671661,6.523855948788533,3.728100167267218,0
250,1971-11-25,4.56954300834494,6.532916364415733,3.716008121502189,0
251,1971-12-02,4.578826210648489,6.5543606631649745,3.7184382563554808,0
252,1971-12-09,4.593097604753822,6.586585362369367,3.735285826928092,0
253,1971-12-16,4.598145571051127,6.5869988988009265,3.765840495250065,0
254,1971-12-23,4.609162207257629,6.5869988988009265,3.8044377947482086,0
255,1971-12-30,4.619073091157083,6.5869988988009265,3.839452312593311,0
256,1972-01-06,4.628886712605407,6.5869988988009265,3.871201010907891,0
257,1972-01-13,4.6443908991413725,6.5869988988009265,3.914021008090819,0
258,1972-01-20,4.651099117876491,6.5869988988009265,3.949318790171843,0
259,1972-01-27,4.6549122778829055,6.5869988988009265,3.977810745966149,0
260,1972-02-03,4.659658371272161,6.5869988988009265,3.9982007016691985,0
261,1972-02-10,4.664382045619937,6.5869988988009265,4.009149716158869,0
262,1972-02-17,4.665324108807838,6.5869988988009265,4.014579593753238,0
263,1972-02-24,4.665324108807838,6.586171654854675,4.0163830207523885,0
264,1972-03-02,4.6709579265260945,6.5869988988009265,4.018183201256536,0
265,1972-03-09,4.677490847567717,6.5869988988009265,4.023564380161053,0
266,1972-03-16,4.679349584162343,6.5869988988009265,4.028916756899646,0
267,1972-03-23,4.679349584162343,6.586033714306832,4.034240638152395,0
268,1972-03-30,4.681204872264089,6.5869988988009265,4.034240638152395,0
269,1972-04-06,4.685828089005546,6.5869988988009265,4.032469158504013,0
270,1972-04-13,4.690430029938915,6.5869988988009265,4.034240638152395,0
271,1972-04-20,4.6913478822291435,6.5869988988009265,4.036008985209137,0
272,1972-04-27,4.686750172980514,6.576190978713507,4.032469158504013,0
273,1972-05-04,4.684905154006945,6.571582997369922,4.021773869387265,0
274,1972-05-11,4.683056724645162,6.567796973076092,4.00369019395397,0
275,1972-05-18,4.683056724645162,6.5679374521098275,3.985273467167739,0
